R_angstrom,method,orbital_index,occupation
1.8,ref,0,1.98325596
1.8,ref,1,1.93982089
1.8,ref,2,1.89373841
1.8,ref,3,1.68358948
1.8,ref,4,0.96342671
1.8,ref,5,0.31454608
1.8,ref,6,0.10123557
1.8,ref,7,0.07631493
1.8,ref,8,0.01091376
1.8,ref,9,0.00815588
1.8,ref,10,0.00766356
1.8,ref,11,0.00566282
1.8,ref,12,0.00411496
1.8,ref,13,0.00345985
1.8,ref,14,0.00315135
1.8,ref,15,0.00094977
1.8,ext,0,1.98345012
1.8,ext,1,1.94042902
1.8,ext,2,1.89479478
1.8,ext,3,1.68485804
1.8,ext,4,0.96396256
1.8,ext,5,0.31305426
1.8,ext,6,0.10018392
1.8,ext,7,0.07560941
1.8,ext,8,0.01074904
1.8,ext,9,0.00806264
1.8,ext,10,0.00760953
1.8,ext,11,0.00562813
1.8,ext,12,0.00409795
1.8,ext,13,0.00342484
1.8,ext,14,0.00313322
1.8,ext,15,0.00095252
1.8,cipsi,0,1.98342937
1.8,cipsi,1,1.94013578
1.8,cipsi,2,1.89405187
1.8,cipsi,3,1.68399448
1.8,cipsi,4,0.96341834
1.8,cipsi,5,0.31415614
1.8,cipsi,6,0.10093833
1.8,cipsi,7,0.07615925
1.8,cipsi,8,0.01082044
1.8,cipsi,9,0.00808343
1.8,cipsi,10,0.00761156
1.8,cipsi,11,0.00561105
1.8,cipsi,12,0.00408816
1.8,cipsi,13,0.00343332
1.8,cipsi,14,0.00312618
1.8,cipsi,15,0.00094230
1.9,ref,0,1.98460958
1.9,ref,1,1.93801189
1.9,ref,2,1.86584968
1.9,ref,3,1.59286814
1.9,ref,4,0.96904746
1.9,ref,5,0.40340439
1.9,ref,6,0.12991768
1.9,ref,7,0.07119416
1.9,ref,8,0.01086766
1.9,ref,9,0.00829800
1.9,ref,10,0.00767521
1.9,ref,11,0.00600553
1.9,ref,12,0.00416177
1.9,ref,13,0.00386497
1.9,ref,14,0.00338114
1.9,ref,15,0.00084275
1.9,ext,0,1.98483348
1.9,ext,1,1.93888792
1.9,ext,2,1.86730595
1.9,ext,3,1.59580314
1.9,ext,4,0.96983870
1.9,ext,5,0.40033059
1.9,ext,6,0.12849038
1.9,ext,7,0.07000704
1.9,ext,8,0.01067729
1.9,ext,9,0.00816209
1.9,ext,10,0.00757573
1.9,ext,11,0.00594788
1.9,ext,12,0.00413256
1.9,ext,13,0.00380048
1.9,ext,14,0.00335370
1.9,ext,15,0.00085308
1.9,cipsi,0,1.98476623
1.9,cipsi,1,1.93836086
1.9,cipsi,2,1.86618196
1.9,cipsi,3,1.59345315
1.9,cipsi,4,0.96902332
1.9,cipsi,5,0.40284066
1.9,cipsi,6,0.12960438
1.9,cipsi,7,0.07104235
1.9,cipsi,8,0.01078235
1.9,cipsi,9,0.00821491
1.9,cipsi,10,0.00761882
1.9,cipsi,11,0.00594853
