R_angstrom,method,root_index,E_root_Ha,overlap_sq_D0,overlap_sq_D1,overlap_sq_D2,overlap_sq_Q1
1.2,ExtSQD,11,-92.0708154115,1.828025e-10,9.251513e-27,1.978510e-26,2.101586e-07
1.2,ExtSQD,12,-92.0523875793,5.892777e-10,7.332590e-28,4.155397e-26,9.511095e-08
1.2,ExtSQD,13,-92.0523610884,2.075636e-08,1.359554e-25,5.098150e-25,4.149426e-06
1.2,ExtSQD,14,-92.0344899201,2.330447e-12,6.595300e-25,4.250942e-24,4.209200e-10
1.2,CIPSI_EN_SQD,0,-92.3954784073,9.999555e-01,2.695543e-30,5.369353e-28,4.811519e-10
1.2,CIPSI_EN_SQD,1,-92.3418454223,2.423767e-26,8.519485e-01,1.480067e-01,9.278532e-25
1.2,CIPSI_EN_SQD,2,-92.3417899630,3.668705e-29,1.480046e-01,8.519359e-01,3.668787e-27
1.2,CIPSI_EN_SQD,3,-92.2649908867,1.609076e-10,2.577724e-26,6.143624e-27,2.320959e-07
1.2,CIPSI_EN_SQD,4,-92.1873187386,3.902263e-10,5.072386e-28,3.070849e-27,9.998825e-01
1.2,CIPSI_EN_SQD,5,-92.1381590454,3.254652e-09,6.684461e-28,6.597491e-32,1.231738e-06
1.2,CIPSI_EN_SQD,6,-92.1356478096,1.367330e-10,1.509865e-26,2.500333e-27,2.742374e-08
1.2,CIPSI_EN_SQD,7,-92.1117413153,3.599999e-11,1.766023e-26,2.790034e-26,6.263153e-11
1.2,CIPSI_EN_SQD,8,-92.0866611466,4.829588e-09,8.347891e-26,3.455486e-26,1.820175e-06
1.2,CIPSI_EN_SQD,9,-92.0747225972,9.897945e-11,1.162438e-28,5.258441e-28,2.517038e-10
1.2,CIPSI_EN_SQD,10,-92.0713356132,2.072351e-10,1.869649e-25,5.008152e-26,6.724172e-07
1.2,CIPSI_EN_SQD,11,-92.0712224403,1.736378e-10,2.956536e-26,9.706546e-27,3.432884e-08
1.2,CIPSI_EN_SQD,12,-92.0527135153,3.033761e-10,6.996879e-25,9.236752e-26,1.062197e-07
1.2,CIPSI_EN_SQD,13,-92.0526983082,1.336604e-10,1.422166e-24,3.675670e-25,4.318026e-08
1.2,CIPSI_EN_SQD,14,-92.0348502309,6.616552e-13,2.302420e-23,5.728477e-24,1.364297e-12
1.25,ExtSQD,0,-92.3911899806,9.997925e-01,3.430065e-23,9.360984e-24,1.231574e-07
1.25,ExtSQD,1,-92.3469281439,1.226879e-22,9.995209e-01,2.852216e-04,9.463871e-24
1.25,ExtSQD,2,-92.3469099850,3.579766e-23,2.852223e-04,9.995158e-01,7.072743e-23
1.25,ExtSQD,3,-92.2590266536,2.426859e-07,2.924756e-24,5.196637e-23,4.868470e-05
1.25,ExtSQD,4,-92.2074010687,9.607270e-08,1.380710e-24,2.541957e-22,9.992666e-01
1.25,ExtSQD,5,-92.1588860279,4.198915e-11,3.034079e-23,1.920218e-23,2.602656e-06
1.25,ExtSQD,6,-92.1561103917,8.333668e-12,3.823156e-24,3.301607e-24,4.101782e-07
1.25,ExtSQD,7,-92.1330150431,4.620579e-12,2.565782e-23,5.932429e-23,1.834202e-10
1.25,ExtSQD,8,-92.1180596904,6.806206e-22,1.735081e-07,4.782392e-10,3.562297e-22
1.25,ExtSQD,9,-92.1176086026,1.093500e-21,3.408189e-10,3.194224e-08,4.578846e-21
1.25,ExtSQD,10,-92.1131524415,8.140567e-20,5.767178e-12,6.504169e-10,1.497176e-20
1.25,ExtSQD,11,-92.1125478420,3.641724e-22,2.180427e-09,1.719917e-11,1.575379e-22
1.25,ExtSQD,12,-92.1064729296,1.265636e-08,8.527489e-22,7.121231e-22,2.158236e-05
1.25,ExtSQD,13,-92.0961964063,6.460138e-12,6.716270e-23,5.656136e-21,5.431269e-10
1.25,ExtSQD,14,-92.0934215158,9.462353e-09,6.407305e-24,1.038430e-20,1.665329e-06
1.25,CIPSI_EN_SQD,0,-92.3916165041,9.999641e-01,7.047560e-25,7.122794e-25,3.130346e-09
1.25,CIPSI_EN_SQD,1,-92.3473258931,5.052725e-24,1.753347e-02,9.824287e-01,1.374334e-24
1.25,CIPSI_EN_SQD,2,-92.3473116798,4.179989e-25,9.824253e-01,1.753339e-02,1.284186e-24
1.25,CIPSI_EN_SQD,3,-92.2595645774,8.160079e-10,4.517031e-25,3.957466e-26,7.591456e-07
1.25,CIPSI_EN_SQD,4,-92.2085536929,2.710644e-09,4.198509e-26,2.433404e-25,9.999170e-01
1.25,CIPSI_EN_SQD,5,-92.1593208476,3.447860e-09,1.351035e-25,2.979302e-24,6.982826e-07
1.25,CIPSI_EN_SQD,6,-92.1565402796,4.308152e-10,5.615103e-25,1.672827e-24,1.506500e-07
1.25,CIPSI_EN_SQD,7,-92.1333533502,8.652386e-12,5.494184e-26,3.169198e-23,1.613053e-09
1.25,CIPSI_EN_SQD,8,-92.1187547929,3.606175e-23,2.951996e-09,1.994947e-12,6.019202e-24
1.25,CIPSI_EN_SQD,9,-92.1185732263,3.959228e-21,1.516887e-10,9.209368e-09,1.176614e-22
1.25,CIPSI_EN_SQD,10,-92.1132359897,8.868652e-23,8.537213e-14,1.079091e-10,1.373690e-20
1.25,CIPSI_EN_SQD,11,-92.1128646395,5.353021e-22,8.917476e-11,1.234907e-12,4.156384e-22
1.25,CIPSI_EN_SQD,12,-92.1071214009,2.059189e-09,1.032234e-23,2.203479e-23,1.632457e-06
1.25,CIPSI_EN_SQD,13,-92.0964900760,4.904553e-12,9.826699e-24,2.767557e-22,1.285692e-10
1.25,CIPSI_EN_SQD,14,-92.0937289898,9.338934e-11,4.015743e-23,7.368865e-21,4.508747e-07
1.3,ExtSQD,0,-92.3810234273,9.997306e-01,4.916710e-27,4.408369e-27,3.494644e-08
1.3,ExtSQD,1,-92.3451604582,1.063216e-24,5.992040e-01,4.005561e-01,5.090146e-27
1.3,ExtSQD,2,-92.3451457185,1.077359e-26,4.005529e-01,5.992011e-01,6.471422e-27
1.3,ExtSQD,3,-92.2486247367,5.530990e-07,1.876883e-27,3.582504e-27,1.811111e-04
1.3,ExtSQD,4,-92.2197489671,2.609774e-08,4.878234e-26,7.914372e-27,9.989341e-01
1.3,ExtSQD,5,-92.1714217587,5.010430e-09,1.628111e-25,2.326612e-25,2.659986e-05
1.3,ExtSQD,6,-92.1685077043,4.319063e-09,4.014891e-26,8.361467e-26,5.268361e-06
1.3,ExtSQD,7,-92.1461949783,5.424123e-11,8.609281e-25,9.800395e-25,1.009971e-07
1.3,ExtSQD,8,-92.1425577218,7.161512e-25,2.896328e-07,1.888764e-08,1.652156e-25
1.3,ExtSQD,9,-92.1421683953,6.486584e-26,1.202692e-08,3.971578e-09,5.910587e-26
1.3,ExtSQD,10,-92.1187954347,2.785567e-23,2.133779e-10,4.483810e-09,4.281599e-23
1.3,ExtSQD,11,-92.1178238544,4.898938e-22,3.673736e-08,1.210144e-08,2.570107e-22
1.3,ExtSQD,12,-92.1170788891,5.481234e-08,3.137286e-24,8.170758e-24,8.881781e-06
1.3,ExtSQD,13,-92.1098530755,5.985929e-10,1.784733e-27,2.805867e-25,1.314226e-07
1.3,ExtSQD,14,-92.1073107251,9.150717e-08,4.057474e-23,6.940613e-22,4.692295e-06
1.3,CIPSI_EN_SQD,0,-92.3815424129,9.999486e-01,1.917631e-26,2.337789e-26,1.448658e-09
1.3,CIPSI_EN_SQD,1,-92.3456238925,1.314977e-26,1.463161e-01,8.536311e-01,2.410683e-27
1.3,CIPSI_EN_SQD,2,-92.3456104135,6.110470e-27,8.536275e-01,1.463155e-01,1.944822e-28
1.3,CIPSI_EN_SQD,3,-92.2493427544,1.032585e-09,7.228095e-27,3.290526e-27,6.772501e-06
1.3,CIPSI_EN_SQD,4,-92.2212183782,1.437310e-09,1.313293e-25,7.514258e-26,9.998924e-01
1.3,CIPSI_EN_SQD,5,-92.1720743415,1.246411e-09,9.692216e-28,7.583827e-29,4.954886e-07
1.3,CIPSI_EN_SQD,6,-92.1691593152,8.096940e-11,2.472589e-26,9.337648e-27,3.249580e-07
1.3,CIPSI_EN_SQD,7,-92.1467573098,2.405735e-10,9.134187e-24,2.685386e-24,6.120797e-10
1.3,CIPSI_EN_SQD,8,-92.1433725166,8.882356e-26,6.591029e-10,2.248774e-12,6.522101e-27
1.3,CIPSI_EN_SQD,9,-92.1433498311,4.596904e-26,1.631432e-13,1.214256e-10,1.968682e-27
1.3,CIPSI_EN_SQD,10,-92.1189061364,1.926314e-23,2.440141e-12,6.393787e-12,8.765001e-25
1.3,CIPSI_EN_SQD,11,-92.1185900090,3.151424e-22,4.126271e-10,1.046611e-10,1.003486e-23
1.3,CIPSI_EN_SQD,12,-92.1178715787,1.946404e-10,7.945079e-24,7.435070e-25,2.065152e-06
1.3,CIPSI_EN_SQD,13,-92.1102890636,4.768134e-10,2.951660e-24,1.366002e-25,9.384299e-10
1.3,CIPSI_EN_SQD,14,-92.1078923660,3.458744e-10,9.321676e-22,2.762122e-23,1.700132e-07
1.35,ExtSQD,0,-92.3668368243,9.996926e-01,1.947063e-32,3.711553e-32,5.365670e-07
1.35,ExtSQD,1,-92.3385953960,1.516015e-30,1.249022e-01,8.748475e-01,2.976550e-28
1.35,ExtSQD,2,-92.3385766658,7.871198e-30,8.748418e-01,1.249011e-01,3.173021e-28
1.35,ExtSQD,3,-92.2361372069,1.235938e-06,5.384484e-28,6.580415e-29,3.000622e-03
1.35,ExtSQD,4,-92.2262319904,5.320209e-07,6.897610e-28,5.462595e-28,9.961014e-01
1.35,ExtSQD,5,-92.1781401764,5.264353e-08,2.580525e-28,6.794315e-29,1.715153e-06
1.35,ExtSQD,6,-92.1750285598,2.356454e-08,1.572475e-28,4.000225e-28,1.744950e-05
1.35,ExtSQD,7,-92.1535220627,5.194463e-09,8.276546e-28,9.179846e-29,1.646219e-07
1.35,ExtSQD,8,-92.1204990370,5.224360e-08,2.127948e-29,1.665334e-28,1.154430e-05
1.35,ExtSQD,9,-92.1174588381,6.368066e-09,6.349986e-28,1.251860e-27,1.067275e-07
1.35,ExtSQD,10,-92.1156059725,2.009557e-08,1.209128e-28,1.053374e-28,3.199306e-07
1.35,ExtSQD,11,-92.1143558237,3.367697e-08,1.969192e-27,5.221916e-28,2.614190e-06
1.35,ExtSQD,12,-92.1020122322,1.464136e-08,6.902217e-29,2.016097e-27,1.871212e-06
1.35,ExtSQD,13,-92.1011706547,8.024939e-09,1.053058e-28,1.225588e-27,1.124989e-07
1.35,ExtSQD,14,-92.0862993961,4.441898e-10,3.991264e-30,5.020705e-30,3.104466e-09
1.35,CIPSI_EN_SQD,0,-92.3674104488,9.999476e-01,1.224361e-31,1.252022e-31,4.667535e-09
1.35,CIPSI_EN_SQD,1,-92.3390476938,5.380004e-30,2.824977e-01,7.174464e-01,2.560710e-30
1.35,CIPSI_EN_SQD,2,-92.3390421751,2.588692e-30,7.174453e-01,2.824972e-01,3.332105e-28
1.35,CIPSI_EN_SQD,3,-92.2369335731,2.701163e-09,3.125027e-29,2.368980e-27,4.574046e-05
1.35,CIPSI_EN_SQD,4,-92.2277136918,4.505203e-09,2.008579e-28,1.720598e-28,9.998497e-01
1.35,CIPSI_EN_SQD,5,-92.1788051058,1.799412e-10,1.884535e-27,4.908652e-30,2.068048e-08
1.35,CIPSI_EN_SQD,6,-92.1756583698,6.271120e-10,2.418116e-28,1.628874e-28,4.766896e-07
1.35,CIPSI_EN_SQD,7,-92.1541160798,1.499474e-09,5.601634e-28,3.618352e-30,4.787682e-10
1.35,CIPSI_EN_SQD,8,-92.1211391600,1.114665e-10,3.491753e-28,1.281181e-28,1.013431e-06
1.35,CIPSI_EN_SQD,9,-92.1179705540,2.458375e-09,2.605397e-28,1.196202e-28,5.333235e-10
1.35,CIPSI_EN_SQD,10,-92.1161140054,5.098491e-10,5.215122e-28,1.512585e-27,1.127461e-08
1.35,CIPSI_EN_SQD,11,-92.1147681803,5.824985e-10,3.172676e-28,2.177872e-28,1.483867e-07
1.35,CIPSI_EN_SQD,12,-92.1024738586,1.536620e-12,3.501922e-28,7.225522e-28,8.003785e-08
1.35,CIPSI_EN_SQD,13,-92.1016647056,2.713885e-11,3.937436e-28,5.570313e-28,1.179306e-09
1.35,CIPSI_EN_SQD,14,-92.0866999803,3.203178e-10,2.977785e-29,4.453611e-29,1.636859e-11
1.4,ExtSQD,0,-92.3500582018,9.996585e-01,1.041570e-23,2.543973e-23,1.006573e-06
1.4,ExtSQD,1,-92.3288430068,1.268846e-27,8.639832e-02,9.133398e-01,4.758985e-23
1.4,ExtSQD,2,-92.3288422408,1.510009e-23,9.133400e-01,8.639831e-02,2.693042e-22
1.4,ExtSQD,3,-92.2281568578,5.405759e-07,8.983702e-23,3.709861e-20,9.863577e-01
1.4,ExtSQD,4,-92.2230691839,3.052779e-06,6.110828e-25,7.948701e-21,1.270451e-02
