R_angstrom,method,orbital_index,occupation
1.4,cipsi,0,1.98321550
1.4,cipsi,1,1.97185348
1.4,cipsi,2,1.94540436
1.4,cipsi,3,1.84650200
1.4,cipsi,4,1.84649880
1.4,cipsi,5,0.15386842
1.4,cipsi,6,0.15386710
1.4,cipsi,7,0.05274289
1.4,cipsi,8,0.01176163
1.4,cipsi,9,0.00893009
1.4,cipsi,10,0.00708652
1.4,cipsi,11,0.00708504
1.4,cipsi,12,0.00549577
1.4,cipsi,13,0.00225968
1.4,cipsi,14,0.00225946
1.4,cipsi,15,0.00116924
1.45,ref,0,1.98281416
1.45,ref,1,1.97188387
1.45,ref,2,1.93761657
1.45,ref,3,1.82321294
1.45,ref,4,1.82321294
1.45,ref,5,0.17675677
1.45,ref,6,0.17675677
1.45,ref,7,0.06091360
1.45,ref,8,0.01175612
1.45,ref,9,0.00887807
1.45,ref,10,0.00726763
1.45,ref,11,0.00726763
1.45,ref,12,0.00545609
1.45,ref,13,0.00245510
1.45,ref,14,0.00245510
1.45,ref,15,0.00129664
1.45,ext,0,1.98281518
1.45,ext,1,1.97188609
1.45,ext,2,1.93761850
1.45,ext,3,1.82321405
1.45,ext,4,1.82321403
1.45,ext,5,0.17675465
1.45,ext,6,0.17675460
1.45,ext,7,0.06091274
1.45,ext,8,0.01175564
1.45,ext,9,0.00887778
1.45,ext,10,0.00726725
1.45,ext,11,0.00726724
1.45,ext,12,0.00545593
1.45,ext,13,0.00245486
1.45,ext,14,0.00245485
1.45,ext,15,0.00129661
1.45,cipsi,0,1.98287430
1.45,cipsi,1,1.97196620
1.45,cipsi,2,1.93767753
1.45,cipsi,3,1.82332086
1.45,cipsi,4,1.82331821
1.45,cipsi,5,0.17664662
1.45,cipsi,6,0.17664162
1.45,cipsi,7,0.06084489
1.45,cipsi,8,0.01172625
1.45,cipsi,9,0.00885413
1.45,cipsi,10,0.00724878
1.45,cipsi,11,0.00724799
1.45,cipsi,12,0.00544378
1.45,cipsi,13,0.00244789
1.45,cipsi,14,0.00244757
1.45,cipsi,15,0.00129337
1.5,ref,0,1.98259660
1.5,ref,1,1.97214026
1.5,ref,2,1.92878488
1.5,ref,3,1.79627019
1.5,ref,4,1.79627019
1.5,ref,5,0.20316029
1.5,ref,6,0.20316029
1.5,ref,7,0.07004748
1.5,ref,8,0.01172979
1.5,ref,9,0.00880688
1.5,ref,10,0.00744285
1.5,ref,11,0.00744285
1.5,ref,12,0.00540862
1.5,ref,13,0.00265882
1.5,ref,14,0.00265882
1.5,ref,15,0.00142119
1.5,ext,0,1.98259762
1.5,ext,1,1.97214238
1.5,ext,2,1.92878712
1.5,ext,3,1.79627084
1.5,ext,4,1.79627074
1.5,ext,5,0.20315849
1.5,ext,6,0.20315841
1.5,ext,7,0.07004650
1.5,ext,8,0.01172941
1.5,ext,9,0.00880667
1.5,ext,10,0.00744251
1.5,ext,11,0.00744250
1.5,ext,12,0.00540849
1.5,ext,13,0.00265859
1.5,ext,14,0.00265857
1.5,ext,15,0.00142117
1.5,cipsi,0,1.98266925
1.5,cipsi,1,1.97223724
1.5,cipsi,2,1.92886684
1.5,cipsi,3,1.79639259
1.5,cipsi,4,1.79638131
1.5,cipsi,5,0.20303727
1.5,cipsi,6,0.20302551
1.5,cipsi,7,0.06996033
1.5,cipsi,8,0.01169748
1.5,cipsi,9,0.00878081
1.5,cipsi,10,0.00741959
1.5,cipsi,11,0.00741893
1.5,cipsi,12,0.00539492
1.5,cipsi,13,0.00265015
1.5,cipsi,14,0.00264993
1.5,cipsi,15,0.00141785
1.55,ref,0,1.98251369
1.55,ref,1,1.97252562
1.55,ref,2,1.91861204
1.55,ref,3,1.76507955
