R_angstrom,method,orbital_index,occupation
1.05,ref,12,0.00375486
1.05,ref,13,0.00137069
1.05,ref,14,0.00078206
1.05,ref,15,0.00072675
1.05,ref,16,0.00055686
1.05,ref,17,0.00007008
1.05,ext,0,1.98173609
1.05,ext,1,1.97373940
1.05,ext,2,1.95553163
1.05,ext,3,0.99364559
1.05,ext,4,0.03695627
1.05,ext,5,0.01711759
1.05,ext,6,0.00953943
1.05,ext,7,0.00759005
1.05,ext,8,0.00492980
1.05,ext,9,0.00444212
1.05,ext,10,0.00375981
1.05,ext,11,0.00375389
1.05,ext,12,0.00375244
1.05,ext,13,0.00137023
1.05,ext,14,0.00078153
1.05,ext,15,0.00072712
1.05,ext,16,0.00055681
1.05,ext,17,0.00007021
1.05,cipsi,0,1.98178023
1.05,cipsi,1,1.97377292
1.05,cipsi,2,1.95556364
1.05,cipsi,3,0.99365523
1.05,cipsi,4,0.03695297
1.05,cipsi,5,0.01709610
1.05,cipsi,6,0.00952803
1.05,cipsi,7,0.00757519
1.05,cipsi,8,0.00492178
1.05,cipsi,9,0.00442737
1.05,cipsi,10,0.00375419
1.05,cipsi,11,0.00373715
1.05,cipsi,12,0.00373564
1.05,cipsi,13,0.00136848
1.05,cipsi,14,0.00078166
1.05,cipsi,15,0.00072344
1.05,cipsi,16,0.00055456
1.05,cipsi,17,0.00007140
1.1,ref,0,1.98156865
1.1,ref,1,1.97357274
1.1,ref,2,1.94990117
1.1,ref,3,0.99357983
1.1,ref,4,0.04285241
1.1,ref,5,0.01728493
1.1,ref,6,0.00946437
1.1,ref,7,0.00764585
1.1,ref,8,0.00487274
1.1,ref,9,0.00435119
1.1,ref,10,0.00375036
1.1,ref,11,0.00374405
1.1,ref,12,0.00365961
1.1,ref,13,0.00155420
1.1,ref,14,0.00083670
1.1,ref,15,0.00072705
1.1,ref,16,0.00055752
1.1,ref,17,0.00007663
1.1,ext,0,1.98157460
1.1,ext,1,1.97358065
1.1,ext,2,1.94993290
1.1,ext,3,0.99358461
1.1,ext,4,0.04282177
1.1,ext,5,0.01728096
1.1,ext,6,0.00946215
1.1,ext,7,0.00764366
1.1,ext,8,0.00487048
1.1,ext,9,0.00434787
1.1,ext,10,0.00375038
1.1,ext,11,0.00374295
1.1,ext,12,0.00365569
1.1,ext,13,0.00155360
1.1,ext,14,0.00083611
1.1,ext,15,0.00072747
1.1,ext,16,0.00055747
1.1,ext,17,0.00007668
1.1,cipsi,0,1.98162092
1.1,cipsi,1,1.97361372
1.1,cipsi,2,1.94996161
1.1,cipsi,3,0.99359687
1.1,cipsi,4,0.04282116
1.1,cipsi,5,0.01725613
1.1,cipsi,6,0.00945056
1.1,cipsi,7,0.00762668
1.1,cipsi,8,0.00486308
1.1,cipsi,9,0.00433491
1.1,cipsi,10,0.00374452
1.1,cipsi,11,0.00372629
1.1,cipsi,12,0.00364005
1.1,cipsi,13,0.00155152
