twist_angle_deg,n_configs,cumulative_weight
60.0,1921,99.9999894985
60.0,1951,99.9999907896
60.0,1981,99.9999919293
60.0,2011,99.9999929388
60.0,2041,99.9999938208
60.0,2071,99.9999946074
60.0,2101,99.9999953116
60.0,2131,99.9999959354
60.0,2161,99.9999964837
60.0,2191,99.9999969674
60.0,2221,99.9999973958
60.0,2251,99.9999977705
60.0,2281,99.9999980997
60.0,2311,99.9999983833
60.0,2341,99.9999986236
60.0,2371,99.9999988357
60.0,2401,99.9999990181
60.0,2431,99.9999991741
60.0,2461,99.9999993088
60.0,2491,99.9999994241
60.0,2521,99.9999995238
60.0,2551,99.9999996087
60.0,2581,99.9999996839
60.0,2611,99.9999997484
60.0,2641,99.9999998028
60.0,2671,99.9999998474
60.0,2701,99.9999998842
60.0,2731,99.9999999137
60.0,2761,99.9999999371
60.0,2791,99.9999999561
60.0,2821,99.9999999719
60.0,2851,99.9999999831
60.0,2881,99.9999999904
60.0,2911,99.9999999952
60.0,2941,99.9999999980
60.0,2971,99.9999999996
60.0,3001,100.0000000000
60.0,3003,100.0000000000
70.0,1,88.2038139431
70.0,31,99.4777352330
70.0,61,99.8079962401
70.0,91,99.9136172000
70.0,121,99.9548770370
70.0,151,99.9730204225
70.0,181,99.9805804166
70.0,211,99.9848974349
70.0,241,99.9880104397
70.0,271,99.9904068172
70.0,301,99.9922194167
70.0,331,99.9935219413
70.0,361,99.9945229968
70.0,391,99.9953171525
70.0,421,99.9959867043
70.0,451,99.9965527559
70.0,481,99.9970207165
70.0,511,99.9974155838
70.0,541,99.9977593453
70.0,571,99.9980516320
70.0,601,99.9983042756
70.0,631,99.9985209702
70.0,661,99.9987120756
70.0,691,99.9988757326
70.0,721,99.9990165118
70.0,751,99.9991335086
70.0,781,99.9992324946
70.0,811,99.9993184542
70.0,841,99.9993935161
70.0,871,99.9994591162
70.0,901,99.9995157846
70.0,931,99.9995671324
70.0,961,99.9996132587
70.0,991,99.9996536553
70.0,1021,99.9996904887
70.0,1051,99.9997236685
70.0,1081,99.9997534695
70.0,1111,99.9997802137
70.0,1141,99.9998035603
70.0,1171,99.9998240910
70.0,1201,99.9998424424
70.0,1231,99.9998592936
70.0,1261,99.9998743729
70.0,1291,99.9998877132
70.0,1321,99.9998998841
70.0,1351,99.9999110692
70.0,1381,99.9999207558
70.0,1411,99.9999292328
70.0,1441,99.9999368194
70.0,1471,99.9999436097
70.0,1501,99.9999497289
70.0,1531,99.9999552318
70.0,1561,99.9999600493
70.0,1591,99.9999642492
70.0,1621,99.9999679260
70.0,1651,99.9999712322
70.0,1681,99.9999742964
70.0,1711,99.9999770023
70.0,1741,99.9999794093
70.0,1771,99.9999815854
70.0,1801,99.9999835372
70.0,1831,99.9999853081
70.0,1861,99.9999869100
70.0,1891,99.9999883822
70.0,1921,99.9999897307
70.0,1951,99.9999909557
70.0,1981,99.9999920467
70.0,2011,99.9999930238
70.0,2041,99.9999938722
70.0,2071,99.9999946203
70.0,2101,99.9999952764
70.0,2131,99.9999958672
70.0,2161,99.9999963974
70.0,2191,99.9999968554
70.0,2221,99.9999972686
70.0,2251,99.9999976436
70.0,2281,99.9999979725
70.0,2311,99.9999982668
70.0,2341,99.9999985248
70.0,2371,99.9999987497
70.0,2401,99.9999989463
70.0,2431,99.9999991129
70.0,2461,99.9999992575
70.0,2491,99.9999993784
70.0,2521,99.9999994823
70.0,2551,99.9999995729
70.0,2581,99.9999996513
70.0,2611,99.9999997209
70.0,2641,99.9999997799
70.0,2671,99.9999998293
70.0,2701,99.9999998693
70.0,2731,99.9999999025
70.0,2761,99.9999999274
70.0,2791,99.9999999473
70.0,2821,99.9999999628
70.0,2851,99.9999999754
70.0,2881,99.9999999849
70.0,2911,99.9999999919
70.0,2941,99.9999999965
70.0,2971,99.9999999990
70.0,3001,100.0000000000
70.0,3003,100.0000000000
80.0,1,79.1999769531
80.0,31,99.4228506045
80.0,61,99.7580096340
80.0,91,99.8877088213
80.0,121,99.9443435074
