twist_angle_deg,n_configs,cumulative_weight
80.0,151,99.9694599187
80.0,181,99.9794174924
80.0,211,99.9846029729
80.0,241,99.9875819342
80.0,271,99.9899541782
80.0,301,99.9917697770
80.0,331,99.9931535780
80.0,361,99.9942194392
80.0,391,99.9950576905
80.0,421,99.9957484502
80.0,451,99.9963388531
80.0,481,99.9968303117
80.0,511,99.9972377758
80.0,541,99.9975849421
80.0,571,99.9978804976
80.0,601,99.9981398604
80.0,631,99.9983670895
80.0,661,99.9985651601
80.0,691,99.9987422418
80.0,721,99.9988975342
80.0,751,99.9990277238
80.0,781,99.9991397780
80.0,811,99.9992375790
80.0,841,99.9993228212
80.0,871,99.9993971973
80.0,901,99.9994623206
80.0,931,99.9995195819
80.0,961,99.9995712766
80.0,991,99.9996168967
80.0,1021,99.9996577791
80.0,1051,99.9996944802
80.0,1081,99.9997267540
80.0,1111,99.9997551835
80.0,1141,99.9997805888
80.0,1171,99.9998032939
80.0,1201,99.9998237296
80.0,1231,99.9998424797
80.0,1261,99.9998594191
80.0,1291,99.9998744752
80.0,1321,99.9998879271
80.0,1351,99.9998998815
80.0,1381,99.9999105144
80.0,1411,99.9999199265
80.0,1441,99.9999284550
80.0,1471,99.9999360702
80.0,1501,99.9999428298
80.0,1531,99.9999487841
80.0,1561,99.9999541153
80.0,1591,99.9999589494
80.0,1621,99.9999632317
80.0,1651,99.9999671562
80.0,1681,99.9999706285
80.0,1711,99.9999737210
80.0,1741,99.9999765358
80.0,1771,99.9999790822
80.0,1801,99.9999813690
80.0,1831,99.9999834603
80.0,1861,99.9999853486
80.0,1891,99.9999870354
80.0,1921,99.9999885777
80.0,1951,99.9999899962
80.0,1981,99.9999912679
80.0,2011,99.9999923756
80.0,2041,99.9999933062
80.0,2071,99.9999941364
80.0,2101,99.9999948560
80.0,2131,99.9999954886
80.0,2161,99.9999960563
80.0,2191,99.9999965641
80.0,2221,99.9999970180
80.0,2251,99.9999974248
80.0,2281,99.9999977909
80.0,2311,99.9999981099
80.0,2341,99.9999983826
