R_angstrom,state,E_FCI_Ha,E_ExtSQD_Ha,E_CIPSI_EN_SQD_Ha,err_ExtSQD_mHa,err_CIPSI_EN_SQD_mHa,S2_FCI,S2_ExtSQD,S2_CIPSI_EN_SQD
2.9,D2,-156.9934477444,-156.9934452566,-156.9934296509,0.0025,0.0181,0.750000,0.750011,0.750145
3.0,D0,-157.0034783565,-157.0034753264,-157.0034669826,0.0030,0.0114,0.750000,0.750004,0.750018
3.0,D1,-156.9945042629,-156.9945018562,-156.9944865022,0.0024,0.0178,0.750000,0.750007,0.750130
3.0,Q1,-156.9952986789,-156.9952957391,-156.9952846166,0.0029,0.0141,3.750000,3.749994,3.749889
3.0,D2,-156.9906049261,-156.9906020849,-156.9905964651,0.0028,0.0085,0.750000,0.750002,0.750016
3.1,D0,-156.9965271421,-156.9965237639,-156.9965222561,0.0034,0.0049,0.750000,0.750005,0.750006
3.1,D1,-156.9954563705,-156.9954540480,-156.9954409138,0.0023,0.0155,0.750000,0.750005,0.750087
3.1,Q1,-156.9962114121,-156.9962088095,-156.9961987798,0.0026,0.0126,3.750000,3.749997,3.749929
3.1,D2,-156.9843826828,-156.9843795580,-156.9843773163,0.0031,0.0054,0.750000,0.750003,0.750009
3.2,D0,-156.9963017197,-156.9962994865,-156.9962874810,0.0022,0.0142,0.750000,0.750003,0.750065
3.2,D1,-156.9898838773,-156.9898801786,-156.9898793481,0.0037,0.0045,0.750000,0.750005,0.750005
3.2,Q1,-156.9970081212,-156.9970058251,-156.9969961283,0.0023,0.0120,3.750000,3.749999,3.749950
3.2,D2,-156.9783728325,-156.9783694628,-156.9783685113,0.0034,0.0043,0.750000,0.750003,0.750007
3.3,D0,-156.9970460623,-156.9970439265,-156.9970325452,0.0021,0.0135,0.750000,0.750002,0.750046
3.3,D1,-156.9835487660,-156.9835447852,-156.9835426446,0.0040,0.0061,0.750000,0.750006,0.750009
3.3,Q1,-156.9976972992,-156.9976952750,-156.9976855242,0.0020,0.0118,3.750000,3.749999,3.749968
3.3,D2,-156.9760090177,-156.9760067574,-156.9759984638,0.0023,0.0106,0.750000,0.750003,0.750013
3.4,D0,-156.9976978930,-156.9976958638,-156.9976836762,0.0020,0.0142,0.750000,0.750002,0.750118
3.4,D1,-156.9775245926,-156.9775203725,-156.9775163582,0.0042,0.0082,0.750000,0.750006,0.750014
3.4,Q1,-156.9982902050,-156.9982884184,-156.9982787444,0.0018,0.0115,3.750000,3.750000,3.749898
3.4,D2,-156.9766250642,-156.9766232214,-156.9766156735,0.0018,0.0094,0.750000,0.750003,0.750011
3.5,D0,-156.9982649549,-156.9982649528,-156.9982549789,0.0000,0.0100,0.750000,0.750000,0.750077
3.5,D1,-156.9771530213,-156.9771530200,-156.9771464170,0.0000,0.0066,0.750000,0.750000,0.750008
3.5,Q1,-156.9987970520,-156.9987970501,-156.9987889664,0.0000,0.0081,3.750000,3.750000,3.749933
3.5,D2,-156.9769717998,-156.9769717983,-156.9769653392,0.0000,0.0065,0.750000,0.750000,0.750006
3.6,D0,-156.9987527744,-156.9987527729,-156.9987392719,0.0000,0.0135,0.750000,0.750000,0.750128
3.6,D1,-156.9776007493,-156.9776007485,-156.9775911827,0.0000,0.0096,0.750000,0.750000,0.750012
3.6,Q1,-156.9992254099,-156.9992254086,-156.9992140260,0.0000,0.0114,3.750000,3.750000,3.749885
3.6,D2,-156.9774506453,-156.9774506440,-156.9774407574,0.0000,0.0099,0.750000,0.750000,0.750011
3.7,D0,-156.9991648125,-156.9991648115,-156.9991534996,0.0000,0.0113,0.750000,0.750000,0.750142
3.7,D1,-156.9779735827,-156.9779735821,-156.9779653665,0.0000,0.0082,0.750000,0.750000,0.750011
3.7,Q1,-156.9995803341,-156.9995803332,-156.9995710465,0.0000,0.0093,3.750000,3.750000,3.749872
3.7,D2,-156.9778532443,-156.9778532431,-156.9778453223,0.0000,0.0079,0.750000,0.750000,0.750008
3.8,D0,-156.9995034986,-156.9995034979,-156.9994943929,0.0000,0.0091,0.750000,0.750000,0.750014
3.8,D1,-156.9782753258,-156.9782753252,-156.9782663114,0.0000,0.0090,0.750000,0.750000,0.750012
3.8,Q1,-156.9998654260,-156.9998654253,-156.9998567024,0.0000,0.0087,3.750000,3.750000,3.749994
3.8,D2,-156.9781835794,-156.9781835784,-156.9781737418,0.0000,0.0098,0.750000,0.750000,0.750010
3.9,D0,-156.9997713743,-156.9997713738,-156.9997627530,0.0000,0.0086,0.750000,0.750000,0.750011
3.9,D1,-156.9785094235,-156.9785094230,-156.9785002893,0.0000,0.0091,0.750000,0.750000,0.750012
