R_angstrom,method,orbital_index,occupation
1.9,ref,0,1.99992032
1.9,ref,1,1.99932063
1.9,ref,2,1.99883797
1.9,ref,3,1.99706603
1.9,ref,4,1.99585509
1.9,ref,5,1.98962523
1.9,ref,6,1.00580975
1.9,ref,7,0.00618478
1.9,ref,8,0.00464417
1.9,ref,9,0.00175779
1.9,ref,10,0.00084772
1.9,ref,11,0.00011200
1.9,ref,12,0.00001658
1.9,ref,13,0.00000195
1.9,ext,0,1.99992029
1.9,ext,1,1.99932254
1.9,ext,2,1.99883813
1.9,ext,3,1.99706890
1.9,ext,4,1.99585692
1.9,ext,5,1.98962863
1.9,ext,6,1.00580636
1.9,ext,7,0.00618179
1.9,ext,8,0.00464416
1.9,ext,9,0.00175565
1.9,ext,10,0.00084567
1.9,ext,11,0.00011228
1.9,ext,12,0.00001658
1.9,ext,13,0.00000213
1.9,cipsi,0,1.99992055
1.9,cipsi,1,1.99932634
1.9,cipsi,2,1.99883609
1.9,cipsi,3,1.99707612
1.9,cipsi,4,1.99585921
1.9,cipsi,5,1.98963431
1.9,cipsi,6,1.00580655
1.9,cipsi,7,0.00617855
1.9,cipsi,8,0.00463776
1.9,cipsi,9,0.00175113
1.9,cipsi,10,0.00084150
1.9,cipsi,11,0.00011256
1.9,cipsi,12,0.00001674
1.9,cipsi,13,0.00000259
1.95,ref,0,1.99992432
1.95,ref,1,1.99931035
1.95,ref,2,1.99883740
1.95,ref,3,1.99699787
1.95,ref,4,1.99581159
1.95,ref,5,1.98968384
1.95,ref,6,1.00589646
1.95,ref,7,0.00622953
1.95,ref,8,0.00449246
1.95,ref,9,0.00182659
1.95,ref,10,0.00086444
1.95,ref,11,0.00010768
1.95,ref,12,0.00001575
1.95,ref,13,0.00000174
1.95,ext,0,1.99992428
1.95,ext,1,1.99931250
1.95,ext,2,1.99883757
1.95,ext,3,1.99700108
1.95,ext,4,1.99581372
1.95,ext,5,1.98968762
1.95,ext,6,1.00589263
1.95,ext,7,0.00622601
1.95,ext,8,0.00449250
1.95,ext,9,0.00182415
1.95,ext,10,0.00086226
1.95,ext,11,0.00010798
1.95,ext,12,0.00001575
1.95,ext,13,0.00000194
1.95,cipsi,0,1.99992447
1.95,cipsi,1,1.99931278
1.95,cipsi,2,1.99883745
1.95,cipsi,3,1.99700090
1.95,cipsi,4,1.99581294
1.95,cipsi,5,1.98968656
1.95,cipsi,6,1.00589528
1.95,cipsi,7,0.00622694
1.95,cipsi,8,0.00449055
1.95,cipsi,9,0.00182353
1.95,cipsi,10,0.00086345
1.95,cipsi,11,0.00010752
1.95,cipsi,12,0.00001578
1.95,cipsi,13,0.00000185
2.0,ref,0,1.99992807
2.0,ref,1,1.99929957
2.0,ref,2,1.99884284
2.0,ref,3,1.99691017
2.0,ref,4,1.99576368
2.0,ref,5,1.98972616
2.0,ref,6,1.00599473
2.0,ref,7,0.00627877
2.0,ref,8,0.00434585
2.0,ref,9,0.00191904
2.0,ref,10,0.00087109
2.0,ref,11,0.00010355
2.0,ref,12,0.00001493
2.0,ref,13,0.00000156
2.0,ext,0,1.99992802
2.0,ext,1,1.99930197
2.0,ext,2,1.99884306
2.0,ext,3,1.99691377
2.0,ext,4,1.99576614
2.0,ext,5,1.98973049
2.0,ext,6,1.00599040
2.0,ext,7,0.00627468
2.0,ext,8,0.00434583
2.0,ext,9,0.00191624
2.0,ext,10,0.00086879
2.0,ext,11,0.00010388
2.0,ext,12,0.00001493
2.0,ext,13,0.00000180
2.0,cipsi,0,1.99992825
2.0,cipsi,1,1.99930549
2.0,cipsi,2,1.99884088
2.0,cipsi,3,1.99692140
2.0,cipsi,4,1.99576803
2.0,cipsi,5,1.98973802
2.0,cipsi,6,1.00599028
2.0,cipsi,7,0.00627265
2.0,cipsi,8,0.00433776
2.0,cipsi,9,0.00191074
2.0,cipsi,10,0.00086465
2.0,cipsi,11,0.00010417
2.0,cipsi,12,0.00001532
2.0,cipsi,13,0.00000236
2.1,ref,0,1.99993485
2.1,ref,1,1.99927747
2.1,ref,2,1.99887516
2.1,ref,3,1.99665944
2.1,ref,4,1.99565128
2.1,ref,5,1.98974822
2.1,ref,6,1.00623688
2.1,ref,7,0.00639539
2.1,ref,8,0.00407072
2.1,ref,9,0.00218744
2.1,ref,10,0.00085259
2.1,ref,11,0.00009591
2.1,ref,12,0.00001333
2.1,ref,13,0.00000131
2.1,ext,0,1.99993480
2.1,ext,1,1.99928043
2.1,ext,2,1.99887551
2.1,ext,3,1.99666375
2.1,ext,4,1.99565438
2.1,ext,5,1.98975349
2.1,ext,6,1.00623158
2.1,ext,7,0.00639017
2.1,ext,8,0.00407075
2.1,ext,9,0.00218385
2.1,ext,10,0.00085005
2.1,ext,11,0.00009629
2.1,ext,12,0.00001333
2.1,ext,13,0.00000162
2.1,cipsi,0,1.99993486
2.1,cipsi,1,1.99927979
2.1,cipsi,2,1.99887564
2.1,cipsi,3,1.99666282
2.1,cipsi,4,1.99565273
2.1,cipsi,5,1.98975493
2.1,cipsi,6,1.00623505
2.1,cipsi,7,0.00639278
2.1,cipsi,8,0.00406508
2.1,cipsi,9,0.00218345
2.1,cipsi,10,0.00085175
2.1,cipsi,11,0.00009585
2.1,cipsi,12,0.00001384
2.1,cipsi,13,0.00000142
2.2,ref,0,1.99994078
2.2,ref,1,1.99925623
2.2,ref,2,1.99893631
2.2,ref,3,1.99628081
2.2,ref,4,1.99550962
2.2,ref,5,1.98965977
2.2,ref,6,1.00656382
2.2,ref,7,0.00654528
2.2,ref,8,0.00382291
2.2,ref,9,0.00258356
2.2,ref,10,0.00079885
2.2,ref,11,0.00008910
2.2,ref,12,0.00001180
2.2,ref,13,0.00000116
2.2,ext,0,1.99994072
2.2,ext,1,1.99925983
2.2,ext,2,1.99893684
2.2,ext,3,1.99628607
2.2,ext,4,1.99551363
2.2,ext,5,1.98966636
2.2,ext,6,1.00655726
2.2,ext,7,0.00653844
2.2,ext,8,0.00382288
2.2,ext,9,0.00257901
2.2,ext,10,0.00079611
2.2,ext,11,0.00008950
2.2,ext,12,0.00001180
2.2,ext,13,0.00000155
2.2,cipsi,0,1.99994086
2.2,cipsi,1,1.99925823
2.2,cipsi,2,1.99893600
2.2,cipsi,3,1.99628443
2.2,cipsi,4,1.99551112
2.2,cipsi,5,1.98966345
2.2,cipsi,6,1.00656242
2.2,cipsi,7,0.00654261
2.2,cipsi,8,0.00382034
2.2,cipsi,9,0.00258005
2.2,cipsi,10,0.00079818
2.2,cipsi,11,0.00008902
2.2,cipsi,12,0.00001192
2.2,cipsi,13,0.00000137
2.3,ref,0,1.99994596
2.3,ref,1,1.99923765
2.3,ref,2,1.99902017
2.3,ref,3,1.99574318
2.3,ref,4,1.99532982
2.3,ref,5,1.98942629
2.3,ref,6,1.00700876
2.3,ref,7,0.00673931
2.3,ref,8,0.00360373
2.3,ref,9,0.00312702
2.3,ref,10,0.00072360
2.3,ref,11,0.00008307
2.3,ref,12,0.00001037
2.3,ref,13,0.00000107
2.3,ext,0,1.99994590
2.3,ext,1,1.99924196
2.3,ext,2,1.99902091
2.3,ext,3,1.99574952
2.3,ext,4,1.99533484
2.3,ext,5,1.98943425
2.3,ext,6,1.00700084
2.3,ext,7,0.00673066
2.3,ext,8,0.00360368
2.3,ext,9,0.00312136
2.3,ext,10,0.00072066
2.3,ext,11,0.00008350
2.3,ext,12,0.00001037
2.3,ext,13,0.00000155
2.3,cipsi,0,1.99994603
2.3,cipsi,1,1.99923944
2.3,cipsi,2,1.99901715
2.3,cipsi,3,1.99575018
2.3,cipsi,4,1.99533153
2.3,cipsi,5,1.98943096
2.3,cipsi,6,1.00700732
2.3,cipsi,7,0.00673550
2.3,cipsi,8,0.00360025
2.3,cipsi,9,0.00312345
2.3,cipsi,10,0.00072303
2.3,cipsi,11,0.00008344
2.3,cipsi,12,0.00001046
2.3,cipsi,13,0.00000127
2.4,ref,0,1.99995049
2.4,ref,1,1.99922350
